central_bank,meeting_date,event_type,event_id,meeting_sequence,event_time_utc,event_time_et,speaker,title,url,scrape_status,is_scheduled,is_unconventional_era,chair_transition,word_count,n_sentences,text_clean,text_raw,source,text_statement,text_qa,word_count_statement,word_count_qa,qa_split_found,page_count,event_time_cet,bps_change,rate_decision_label,policy_score,inflation_score,employment_score,residual_score,econ_score,net_score,label_text,policy_label,inflation_label,employment_label,residual_label,econ_label,text_fwd,text_curr,net_score_fwd,net_score_curr,SX5E,EURUSD,OIS_MP1,OIS_MP2,OIS_5Y,OIS_10Y,DE2Y,DE10Y,IT10Y,SX7E,IT10Y_spread,chair,era
ECB,1999-01-07,statement,ecb_stmt_19990107,1,13:15:00,NA,ECB Governing Council,Decisions on ECB interest rates,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990107.en.html,OK,TRUE,FALSE,FALSE,233,9,"At today's meeting, the Governing Council of the ECB reviewed the monetary, financial and economic situation in the euro area against the background of its stability-oriented monetary policy strategy. Taking into account the latest economic developments, the Governing Council confirmed its earlier assessment of the outlook for price stability. The Governing Council therefore decided that for the two main refinancing operations to be announced on 11 January 1999 and 18 January 1999 the same conditions will apply as for the first such operation, which was settled today, i.e. they will be fixed rate tenders conducted at an interest rate of 3.0%. The Governing Council confirmed its intention to maintain the main refinancing rate at this level for the foreseeable future. In addition, the Governing Council recalled that the marginal lending rate and the deposit rate were set at levels of 3.25% and 2.75%, respectively, for the period from 4 to 21 January 1999. The Governing Council confirmed its intention to terminate this transitional measure following its next meeting on 21 January 1999. Finally, the Governing Council recalled the decision taken at its meeting on 22 December 1998 that the first longer-term refinancing operation, which will be announced on 12 January 1999 and settled on 14 January 1999, will be conducted as a variable rate tender, using the single rate allotment procedure. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.","At today's meeting, the Governing Council of the ECB reviewed the monetary, financial and economic situation in the euro area against the background of its stability-oriented monetary policy strategy. Taking into account the latest economic developments, the Governing Council confirmed its earlier assessment of the outlook for price stability. The Governing Council therefore decided that for the two main refinancing operations to be announced on 11 January 1999 and 18 January 1999 the same conditions will apply as for the first such operation, which was settled today, i.e. they will be fixed rate tenders conducted at an interest rate of 3.0%. The Governing Council confirmed its intention to maintain the main refinancing rate at this level for the foreseeable future. In addition, the Governing Council recalled that the marginal lending rate and the deposit rate were set at levels of 3.25% and 2.75%, respectively, for the period from 4 to 21 January 1999. The Governing Council confirmed its intention to terminate this transitional measure following its next meeting on 21 January 1999. Finally, the Governing Council recalled the decision taken at its meeting on 22 December 1998 that the first longer-term refinancing operation, which will be announced on 12 January 1999 and settled on 14 January 1999, will be conducted as a variable rate tender, using the single rate allotment procedure. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.",ecb_statements,NA,NA,NA,NA,NA,NA,14:15:00,0,NEUTRAL,0,0,0,0,0,0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,"Taking into account the latest economic developments, the Governing Council confirmed its earlier assessment of the outlook for price stability. The Governing Council therefore decided that for the two main refinancing operations to be announced on 11 January 1999 and 18 January 1999 the same conditions will apply as for the first such operation, which was settled today, i.e. they will be fixed rate tenders conducted at an interest rate of 3.0%. The Governing Council confirmed its intention to maintain the main refinancing rate at this level for the foreseeable future. The Governing Council confirmed its intention to terminate this transitional measure following its next meeting on 21 January 1999. Finally, the Governing Council recalled the decision taken at its meeting on 22 December 1998 that the first longer-term refinancing operation, which will be announced on 12 January 1999 and settled on 14 January 1999, will be conducted as a variable rate tender, using the single rate allotment procedure.","At today's meeting, the Governing Council of the ECB reviewed the monetary, financial and economic situation in the euro area against the background of its stability-oriented monetary policy strategy. In addition, the Governing Council recalled that the marginal lending rate and the deposit rate were set at levels of 3.25% and 2.75%, respectively, for the period from 4 to 21 January 1999. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.",0,0,-0.355884985397026,-0.126629839317349,0,NA,NA,NA,-0.300000000000011,0.500000000000034,NA,-0.632078231376809,NA,Duisenberg,pre_gfc
ECB,1999-02-04,statement,ecb_stmt_19990204,2,13:15:00,NA,ECB Governing Council,NA,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990204.en.html,HTTP 404,TRUE,FALSE,FALSE,0,0,NA,NA,ecb_statements,NA,NA,NA,NA,NA,NA,14:15:00,0,NEUTRAL,0,0,0,0,0,0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duisenberg,pre_gfc
ECB,1999-03-04,statement,ecb_stmt_19990304,3,12:15:00,NA,ECB Governing Council,Monetary policy decisions,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990304.en.html,OK,TRUE,FALSE,FALSE,159,7,"At today's meeting the Governing Council reviewed the latest monetary, financial and economic developments. Taking into account all the information available, the Governing Council confirmed its earlier assessment of the outlook for price stability. Against this background it decided that for the main refinancing operations to be settled on 10 and 17 March 1999 the same conditions will apply as for the previous ones, i.e. they will be conducted as fixed rate tenders at an interest rate of 3.0%. In addition, the interest rate on the marginal lending facility will continue to be 4.5% and the interest rate on the deposit facility will remain 2.0%. The Governing Council also decided today that for forthcoming longer-term refinancing operations of the Eurosystem the multiple rate method of allotment will be applied starting from the next such operation (which is to be settled on 25 March 1999) until otherwise indicated. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.","At today's meeting the Governing Council reviewed the latest monetary, financial and economic developments. Taking into account all the information available, the Governing Council confirmed its earlier assessment of the outlook for price stability. Against this background it decided that for the main refinancing operations to be settled on 10 and 17 March 1999 the same conditions will apply as for the previous ones, i.e. they will be conducted as fixed rate tenders at an interest rate of 3.0%. In addition, the interest rate on the marginal lending facility will continue to be 4.5% and the interest rate on the deposit facility will remain 2.0%. The Governing Council also decided today that for forthcoming longer-term refinancing operations of the Eurosystem the multiple rate method of allotment will be applied starting from the next such operation (which is to be settled on 25 March 1999) until otherwise indicated. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.",ecb_statements,NA,NA,NA,NA,NA,NA,14:15:00,0,NEUTRAL,0,0,0,0,0,0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,"Taking into account all the information available, the Governing Council confirmed its earlier assessment of the outlook for price stability. Against this background it decided that for the main refinancing operations to be settled on 10 and 17 March 1999 the same conditions will apply as for the previous ones, i.e. they will be conducted as fixed rate tenders at an interest rate of 3.0%. In addition, the interest rate on the marginal lending facility will continue to be 4.5% and the interest rate on the deposit facility will remain 2.0%. The Governing Council also decided today that for forthcoming longer-term refinancing operations of the Eurosystem the multiple rate method of allotment will be applied starting from the next such operation (which is to be settled on 25 March 1999) until otherwise indicated.","At today's meeting the Governing Council reviewed the latest monetary, financial and economic developments. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.",0,0,0.274130824876195,0.0690878133553244,0,NA,NA,NA,-0.599999999999978,-0.649999999999995,NA,0.0117354822439353,NA,Duisenberg,pre_gfc
ECB,1999-04-08,statement,ecb_stmt_19990408,4,12:15:00,NA,ECB Governing Council,Monetary policy decisions,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990408.en.html,OK,TRUE,FALSE,FALSE,58,2,At today's meeting the Governing Council of the ECB took the following monetary policy decisions: A statement providing the reasons for these decisions will be made by the President of the ECB at a press conference following the conclusion of the Governing Council meeting later today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.,At today's meeting the Governing Council of the ECB took the following monetary policy decisions: A statement providing the reasons for these decisions will be made by the President of the ECB at a press conference following the conclusion of the Governing Council meeting later today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.,ecb_statements,NA,NA,NA,NA,NA,NA,14:15:00,-50,DOVISH,0,0,0,0,0,0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,At today's meeting the Governing Council of the ECB took the following monetary policy decisions: A statement providing the reasons for these decisions will be made by the President of the ECB at a press conference following the conclusion of the Governing Council meeting later today.,Directorate General Communications Reproduction is permitted provided that the source is acknowledged.,0,0,-0.0968604998151434,0.101738817506668,-2.49999999999999,NA,NA,NA,0.800000000000001,0.0499999999999723,NA,-0.115327795966369,NA,Duisenberg,pre_gfc
ECB,1999-05-06,statement,ecb_stmt_19990506,5,12:15:00,NA,ECB Governing Council,Monetary policy decisions,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990506.en.html,OK,TRUE,FALSE,FALSE,70,4,"At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2 p.m. today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.","At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2 p.m. today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.",ecb_statements,NA,NA,NA,NA,NA,NA,14:15:00,0,NEUTRAL,0,0,0,0,0,0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,"At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2 p.m.",today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.,0,0,-0.108871713764636,-0.0601782219294841,0,NA,NA,NA,0.8500000000000171,1.40000000000002,NA,-0.224553618795653,NA,Duisenberg,pre_gfc
ECB,1999-06-17,statement,ecb_stmt_19990617,6,12:15:00,NA,ECB Governing Council,Monetary policy decisions,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990617.en.html,OK,TRUE,FALSE,FALSE,48,2,"At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.","At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.",ecb_statements,NA,NA,NA,NA,NA,NA,14:15:00,0,NEUTRAL,0,0,0,0,0,0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,"At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively.",Directorate General Communications Reproduction is permitted provided that the source is acknowledged.,0,0,-0.295627645627228,-0.0145022116126929,0,NA,NA,NA,0,-0.199999999999978,NA,-0.140608968058498,NA,Duisenberg,pre_gfc
ECB,1999-07-08,statement,ecb_stmt_19990708,7,12:15:00,NA,ECB Governing Council,NA,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990708.en.html,HTTP 404,TRUE,FALSE,FALSE,0,0,NA,NA,ecb_statements,NA,NA,NA,NA,NA,NA,14:15:00,0,NEUTRAL,0,0,0,0,0,0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duisenberg,pre_gfc
ECB,1999-08-05,statement,ecb_stmt_19990805,8,12:15:00,NA,ECB Governing Council,NA,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990805.en.html,HTTP 404,TRUE,FALSE,FALSE,0,0,NA,NA,ecb_statements,NA,NA,NA,NA,NA,NA,14:15:00,0,NEUTRAL,0,0,0,0,0,0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duisenberg,pre_gfc
ECB,1999-09-09,statement,ecb_stmt_19990909,9,12:15:00,NA,ECB Governing Council,Monetary policy decisions,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990909.en.html,OK,TRUE,FALSE,FALSE,70,4,"At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2 p.m. today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.","At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2 p.m. today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.",ecb_statements,NA,NA,NA,NA,NA,NA,14:15:00,0,NEUTRAL,0,0,0,0,0,0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,"At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2 p.m.",today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.,0,0,0.119366668747212,0.0188821752826855,8.25,NA,NA,NA,-2.4,-0.699999999999967,NA,0.127777400788442,NA,Duisenberg,pre_gfc
ECB,1999-10-07,statement,ecb_stmt_19991007,10,12:15:00,NA,ECB Governing Council,Monetary policy decisions,https://www.ecb.europa.eu/press/pr/date/1999/html/pr991007.en.html,OK,TRUE,FALSE,FALSE,70,4,"At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.","At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.",ecb_statements,NA,NA,NA,NA,NA,NA,14:15:00,0,NEUTRAL,0,0,0,0,0,0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,"At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m.",today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.,0,0,-0.140744859723618,0.0747558788259758,-7.99999999999996,NA,NA,NA,2.44999999999997,3.39999999999998,NA,0.08518190399708911,NA,Duisenberg,pre_gfc
